ID,功能,Notion状态,原始前置,建议直接前置,计划开始,目标DDL,预算工作日
PM-009,本地账号注册、登录与会话,🚧 实施中,现有 Admin/Web 与单 MySQL 基线；不依赖 Environment,"PM-001,PM-003",2026-09-08,2026-09-08,1
PM-058,管理台可靠性与持续验收（六阶段后续工作包）,🔄 进行中,PM-054、PM-055、PM-056、PM-057,"PM-054,PM-055,PM-056,PM-057",2026-09-09,2026-09-09,1
PM-007,Environment Catalog,📐 待实现,身份/数据隔离决策,PM-009,2026-09-10,2026-09-10,1
PM-008,Environment 数据隔离,📐 待实现,PM-007,PM-007,2026-09-11,2026-09-14,2
PM-011,完整角色体系与服务端授权,📐 待实现,PM-009；不依赖 PM-010,PM-009,2026-09-15,2026-09-15,1
PM-012,持久操作审计,📐 待实现,PM-009,PM-009,2026-09-16,2026-09-16,1
PM-047,乐观并发保护（统一版本表）与历史 Revision,📐 待实现,数据并发需求已确认；接口与存量接入方案待细化,PM-009,2026-09-17,2026-09-17,1
PM-013,Page Model Catalog,📐 待实现,PM-007、现有 Table Policy,"PM-007,PM-008",2026-09-18,2026-09-18,1
PM-014,Page Field 管理,📐 待实现,PM-013,PM-013,2026-09-21,2026-09-21,1
PM-015,Static/Table Option,📐 待实现,PM-013、PM-014,"PM-013,PM-014",2026-09-22,2026-09-22,1
PM-016,QueryPage ONLY_DATA,📐 待实现,PM-013、PM-014,"PM-013,PM-014,PM-011",2026-09-23,2026-09-23,1
PM-017,QueryPage ALL,📐 待实现,PM-015、PM-016,"PM-015,PM-016",2026-09-24,2026-09-24,1
PM-018,Release Model 与快照,📐 待实现,PM-013、PM-014、PM-007,"PM-013,PM-014,PM-007,PM-008",2026-09-25,2026-09-25,1
PM-019,Release Type 与 Template,📐 待实现,PM-011、PM-018,"PM-011,PM-018",2026-09-28,2026-09-28,1
PM-020,Release Order 生命周期,📐 待实现,PM-019、PM-011、PM-012,"PM-019,PM-011,PM-012",2026-09-29,2026-09-30,2
PM-021,批量与并发控制,📐 待实现,PM-020,"PM-020,PM-047",2026-10-08,2026-10-08,1
PM-022,Publication Committer,📐 待实现,PM-020、PM-021,"PM-020,PM-021,PM-008",2026-10-09,2026-10-12,2
PM-023,Canonical Final Row,📐 待实现,PM-022,PM-022,2026-10-13,2026-10-13,1
PM-024,Command 与 Table Version,📐 待实现,PM-022、PM-023,"PM-022,PM-023",2026-10-14,2026-10-15,2
PM-025,Rollout Policy,📐 待实现,PM-019、PM-024,"PM-019,PM-024",2026-10-16,2026-10-16,1
PM-026,MySQL Outbox Worker,📐 待实现,PM-022、PM-024,"PM-022,PM-024",2026-10-19,2026-10-19,1
PM-029,Shared Protobuf 与 Codec Golden,📐 待实现,PM-024、PM-025、PM-007,"PM-024,PM-025,PM-007,PM-008",2026-10-20,2026-10-20,1
PM-030,Environment 不可变 Snapshot,📐 待实现,PM-029,PM-029,2026-10-21,2026-10-21,1
PM-031,全量/指定表/Command 刷新,📐 待实现,PM-024、PM-026、PM-030,"PM-024,PM-026,PM-030",2026-10-22,2026-10-22,1
PM-032,可信 Command 重放与 Shadow,📐 待实现,PM-024、PM-031,"PM-024,PM-031",2026-10-23,2026-10-23,1
PM-033,Resolved Delta History,📐 待实现,PM-032,PM-032,2026-10-26,2026-10-26,1
PM-034,Runtime Query 与 Watch,📐 待实现,PM-030、PM-033,"PM-030,PM-033",2026-10-27,2026-10-28,2
PM-036,启动、生命周期和全量快照,📐 待实现,PM-029、PM-034,"PM-029,PM-034",2026-10-29,2026-10-29,1
PM-037,TableStore 与本地查询,📐 待实现,PM-036,PM-036,2026-10-30,2026-10-30,1
PM-038,增量 SyncController,📐 待实现,PM-033、PM-036、PM-037,"PM-033,PM-036,PM-037",2026-11-02,2026-11-03,2
PM-039,灰度查询与算法 Registry,📐 待实现,PM-025、PM-038,"PM-025,PM-038",2026-11-04,2026-11-04,1
PM-040,事件、版本上报与可观测性,📐 待实现,PM-038、PM-039、PM-028,"PM-038,PM-039",2026-11-05,2026-11-05,1
PM-035,生产门禁与可观测性,📐 待实现,PM-030～PM-034,"PM-030,PM-031,PM-032,PM-033,PM-034",2026-11-06,2026-11-06,1
PM-028,全链路版本大盘,📐 待实现,PM-024、Server 状态、Client 状态,"PM-024,PM-035,PM-040",2026-11-09,2026-11-09,1
PM-027,发布运维与巡检,📐 待实现,PM-020～PM-026,"PM-020,PM-021,PM-022,PM-023,PM-024,PM-025,PM-026",2026-11-10,2026-11-10,1
PM-041,Foreign Key 与关系 Allowlist,🧪 研究规划,现有 Schema/Policy,PM-001,2026-11-11,2026-11-11,1
PM-042,关联查询、动态字段和聚合,🧪 研究规划,PM-041,PM-041,2026-11-12,2026-11-13,2
PM-043,跨表 Change Set 与发布,🧪 研究规划,PM-022、PM-041,"PM-022,PM-024,PM-041",2026-11-16,2026-11-16,1
PM-044,只读 Agent,🧪 研究规划,PM-017、PM-011,"PM-017,PM-011,PM-012,PM-042",2026-11-17,2026-11-17,1
PM-045,变更草案 Agent,🧪 研究规划,PM-044、PM-020,"PM-044,PM-020",2026-11-18,2026-11-18,1
PM-046,确认执行 Agent,🧪 研究规划,PM-012、PM-045,"PM-012,PM-045,PM-022,PM-047",2026-11-19,2026-11-19,1
PM-010,企业身份接入与身份 Adapter,📐 后续触发,出现明确的企业 SSO/外部身份接入需求；PM-009,PM-009,2026-11-20,2026-11-20,1
PM-048,Policy/Schema/页面缓存,📐 后续触发,多实例和性能需求,"PM-017,PM-024",2026-11-23,2026-11-23,1
PM-049,PostgreSQL 与多数据源,📐 后续触发,单 MySQL 模式成熟,"PM-027,PM-035,PM-040,PM-043",2026-11-24,2026-11-25,2
